date,postal_code,location_name,median_price,active_listing_count,median_days_on_market,median_sqft,average_price,total_listing_count,quality_flag
2023-12-1,77433,"cypress, tx",480000,437,59,2702,576657,788,0
2023-11-1,77433,"cypress, tx",485125,463,47,2729,586474,821,0
2023-10-1,77433,"cypress, tx",482393,464,43,2703,574557,825,0
2023-09-1,77433,"cypress, tx",490000,446,43,2735,560679,825,0
2023-08-1,77433,"cypress, tx",492118,448,37,2745,566567,829,0
2023-07-1,77433,"cypress, tx",499398,431,41,2719,574588,865,0
2023-06-1,77433,"cypress, tx",497500,411,38,2712,561594,820,0
2023-05-1,77433,"cypress, tx",487000,387,40,2693,553343,814,1
2023-04-1,77433,"cypress, tx",480665,368,45,2686,547754,773,1
2023-03-1,77433,"cypress, tx",489945,374,46,2673,549480,723,1
2023-02-1,77433,"cypress, tx",498975,366,56,2717,572762,705,1
2023-01-1,77433,"cypress, tx",488688,394,60,2719,576611,654,1
2022-12-1,77433,"cypress, tx",469825,431,61,2657,554841,689,1
2022-11-1,77433,"cypress, tx",465225,440,49,2628,536750,734,1
2022-10-1,77433,"cypress, tx",468385,408,45,2697,550243,726,0
2022-09-1,77433,"cypress, tx",491988,422,42,2735,560116,740,0
2022-08-1,77433,"cypress, tx",487971,423,36,2692,566053,754,0
2022-07-1,77433,"cypress, tx",485485,377,26,2743,572795,684,1
2022-06-1,77433,"cypress, tx",531798,290,27,2838,601272,608,1
2022-05-1,77433,"cypress, tx",563298,242,28,2915,634297,566,1
2022-04-1,77433,"cypress, tx",535000,165,25,2737,626179,488,1
2022-03-1,77433,"cypress, tx",534699,130,26,2737,614431,403,0
2022-02-1,77433,"cypress, tx",494282,102,28,2527,634508,390,0
2022-01-1,77433,"cypress, tx",475000,118,54,2635,609241,374,0
2021-12-1,77433,"cypress, tx",467884,147,49,2620,570079,430,0
2021-11-1,77433,"cypress, tx",470495,160,46,2727,579675,473,0
2021-10-1,77433,"cypress, tx",459990,185,49,2841,565830,498,0
2021-09-1,77433,"cypress, tx",456495,186,41,2829,548038,487,0
2021-08-1,77433,"cypress, tx",455326,201,26,2879,551819,512,0
2021-07-1,77433,"cypress, tx",452240,174,33,2841,547326,502,0
2021-06-1,77433,"cypress, tx",438450,136,30,2787,498978,514,0
2021-05-1,77433,"cypress, tx",419950,109,31,2839,502118,502,1
2021-04-1,77433,"cypress, tx",426644,104,37,2947,520319,488,1
2021-03-1,77433,"cypress, tx",416527,141,38,2838,511661,453,0
2021-02-1,77433,"cypress, tx",400631,149,41,2745,517480,456,0
2021-01-1,77433,"cypress, tx",401457,184,52,2867,470607,426,0
2020-12-1,77433,"cypress, tx",403698,202,51,2892,468810,500,0
2020-11-1,77433,"cypress, tx",402327,228,52,2940,456660,557,0
2020-10-1,77433,"cypress, tx",389995,246,52,2919,448248,589,0
2020-09-1,77433,"cypress, tx",382950,279,52,2879,440540,660,0
2020-08-1,77433,"cypress, tx",373381,311,46,2843,427841,705,0
2020-07-1,77433,"cypress, tx",377398,340,46,2887,427066,752,0
2020-06-1,77433,"cypress, tx",371656,388,55,2862,426503,825,0
2020-05-1,77433,"cypress, tx",353554,472,59,2841,409443,810,0
2020-04-1,77433,"cypress, tx",355000,502,51,2868,419373,756,0
2020-03-1,77433,"cypress, tx",359895,452,46,2867,431812,775,0
2020-02-1,77433,"cypress, tx",352000,452,51,2869,420281,733,0
2020-01-1,77433,"cypress, tx",359573,441,58,2872,413312,630,0
2019-12-1,77433,"cypress, tx",359082,449,57,2927,410690,655,0
2019-11-1,77433,"cypress, tx",360000,447,56,2982,410393,697,0
2019-10-1,77433,"cypress, tx",356000,474,51,2997,407544,736,0
2019-09-1,77433,"cypress, tx",351705,509,49,2997,408006,783,0
2019-08-1,77433,"cypress, tx",350682,529,49,2998,408698,835,0
2019-07-1,77433,"cypress, tx",349950,551,49,2990,408657,886,0
2019-06-1,77433,"cypress, tx",347445,561,50,2983,401633,902,0
2019-05-1,77433,"cypress, tx",344998,564,44,2946,398377,904,0
2019-04-1,77433,"cypress, tx",353273,564,38,2957,407579,890,0
2019-03-1,77433,"cypress, tx",361273,546,41,2950,412608,832,0
2019-02-1,77433,"cypress, tx",363033,536,55,2934,412891,773,0
2019-01-1,77433,"cypress, tx",356198,533,74,2946,408582,694,0
2018-12-1,77433,"cypress, tx",350990,537,67,2997,412184,750,0
2018-11-1,77433,"cypress, tx",359722,588,65,3031,412083,829,0
2018-10-1,77433,"cypress, tx",358611,610,64,3050,411581,858,0
2018-09-1,77433,"cypress, tx",349945,617,57,3037,412727,884,0
2018-08-1,77433,"cypress, tx",349995,664,52,3041,404081,960,0
2018-07-1,77433,"cypress, tx",349450,643,53,3025,398835,974,0
2018-06-1,77433,"cypress, tx",349945,661,50,3046,395536,1005,0
2018-05-1,77433,"cypress, tx",350000,683,42,3060,401190,1023,0
2018-04-1,77433,"cypress, tx",349995,648,46,3063,398193,955,0
2018-03-1,77433,"cypress, tx",350000,630,48,3063,395886,903,0
2018-02-1,77433,"cypress, tx",351622,584,71,3063,399508,816,0
2018-01-1,77433,"cypress, tx",349950,577,79,3061,401363,778,0
2017-12-1,77433,"cypress, tx",344203,640,72,2994,390815,885,0
2017-11-1,77433,"cypress, tx",340468,674,65,2948,387876,919,0
2017-10-1,77433,"cypress, tx",339998,681,67,2963,384085,943,0
2017-09-1,77433,"cypress, tx",334815,707,63,2947,380906,984,0
2017-08-1,77433,"cypress, tx",325558,755,57,2956,375049,1031,0
2017-07-1,77433,"cypress, tx",326495,743,53,2989,375907,1051,0
2017-06-1,77433,"cypress, tx",339450,743,49,3057,382165,1038,
2017-05-1,77433,"cypress, tx",349950,717,46,3132,388970,1025,
2017-04-1,77433,"cypress, tx",349900,655,45,3091,389062,935,
2017-03-1,77433,"cypress, tx",340435,615,50,3055,379397,878,
2017-02-1,77433,"cypress, tx",336216,594,66,3009,374127,839,
2017-01-1,77433,"cypress, tx",338200,596,72,2980,374152,781,
2016-12-1,77433,"cypress, tx",329950,636,68,2944,369673,821,
2016-11-1,77433,"cypress, tx",324225,651,64,2944,363455,863,
2016-10-1,77433,"cypress, tx",324725,692,60,2966,363918,902,
2016-09-1,77433,"cypress, tx",331845,672,58,3054,378026,909,
2016-08-1,77433,"cypress, tx",337825,658,57,3087,384472,951,
2016-07-1,77433,"cypress, tx",339995,668,52,3086,388064,978,
